Team,Gold,Silver,Bronze,Total
Afghanistan,0,0,1,1
Algeria,0,1,1,2
Argentina,2,0,4,6
Armenia,0,1,4,5
Australia,14,15,17,46
Austria,0,1,2,3
Azerbaijan,1,1,4,6
Bahamas,0,1,1,2
Belarus,3,4,7,14
Belgium,2,0,0,2
Brazil,3,4,10,17
Bulgaria,1,1,3,5
Cameroon,1,0,0,1
Canada,3,9,8,20
Chile,0,1,0,1
Chinese Taipei,1,1,2,4
Colombia,0,2,1,3
Croatia,0,2,3,5
Cuba,3,10,17,30
Czechia,3,3,1,7
Democratic People's Republic of Korea,2,2,2,6
Denmark,2,2,3,7
Dominican Republic,1,1,0,2
Ecuador,0,1,0,1
Egypt,0,0,2,2
Estonia,1,1,0,2
Ethiopia,4,2,1,7
Finland,1,1,2,4
France,7,16,20,43
Georgia,3,2,2,7
Germany,16,11,14,41
Great Britain,19,13,19,51
Greece,0,2,1,3
Hungary,3,5,2,10
Iceland,0,1,0,1
India,1,0,2,3
Indonesia,1,1,4,6
Ireland,0,1,2,3
Islamic Republic of Iran,1,0,1,2
Israel,0,0,1,1
Italy,8,9,10,27
Jamaica,5,4,2,11
Japan,9,8,8,25
Kazakhstan,2,3,4,9
Kenya,6,4,6,16
Kyrgyzstan,0,1,2,3
Latvia,1,1,1,3
Lithuania,0,3,2,5
Malaysia,0,1,0,1
Mauritius,0,0,1,1
Mexico,2,0,2,4
Mongolia,2,2,0,4
Morocco,0,1,1,2
Netherlands,7,5,4,16
New Zealand,3,2,4,9
Nigeria,0,3,2,5
Norway,3,5,1,9
Panama,1,0,0,1
People's Republic of China,48,22,30,100
Poland,4,5,2,11
Portugal,1,1,0,2
Republic of Korea,13,11,8,32
Republic of Moldova,0,0,1,1
Romania,4,1,4,9
Russian Federation,24,13,23,60
Samoa,0,1,0,1
Serbia,0,1,2,3
Singapore,0,1,0,1
Slovakia,3,3,0,6
Slovenia,1,2,2,5
South Africa,0,1,0,1
Spain,5,11,3,19
Sudan,0,1,0,1
Sweden,0,4,1,5
Switzerland,2,1,4,7
Tajikistan,0,1,1,2
Thailand,2,2,2,6
Togo,0,0,1,1
Trinidad and Tobago,1,1,0,2
Tunisia,1,0,0,1
Türkiye,1,1,3,5
Ukraine,7,4,11,22
United States of America,36,39,37,112
Uzbekistan,0,1,3,4
Venezuela,0,0,1,1
Vietnam,0,1,0,1
Zimbabwe,1,3,0,4
