Team,Gold,Silver,Bronze,Total
Australia,0,2,1,3
Austria,4,8,5,17
Belarus,5,0,1,6
Canada,10,10,5,25
Croatia,0,1,0,1
Czechia,2,4,3,9
Finland,1,3,1,5
France,4,4,7,15
Germany,8,6,5,19
Great Britain,1,1,3,5
Italy,0,2,6,8
Japan,1,4,3,8
Kazakhstan,0,0,1,1
Latvia,1,1,3,5
Netherlands,8,7,9,24
Norway,11,6,9,26
People's Republic of China,3,4,2,9
Poland,4,1,1,6
Republic of Korea,3,3,2,8
Russian Federation,10,10,9,29
Slovakia,1,0,0,1
Slovenia,2,2,4,8
Sweden,2,7,6,15
Switzerland,7,2,2,11
Ukraine,1,0,1,2
United States of America,9,9,10,28
