Team,Gold,Silver,Bronze,Total
Australia,1,2,1,4
Austria,7,7,4,18
Belarus,0,2,0,2
Belgium,1,0,1,2
Canada,4,8,14,26
Czechia,1,0,1,2
Estonia,0,0,1,1
Finland,2,2,4,8
France,5,7,2,14
Germany,12,10,5,27
Great Britain,1,1,0,2
Hungary,1,0,2,3
Italy,2,7,8,17
Japan,3,7,8,18
Latvia,0,0,1,1
Netherlands,8,5,4,17
New Zealand,2,1,0,3
Norway,16,8,13,37
People's Republic of China,9,4,2,15
Poland,0,0,1,1
ROC,5,12,15,32
Republic of Korea,2,5,2,9
Slovakia,1,0,1,2
Slovenia,2,3,2,7
Spain,0,1,0,1
Sweden,8,5,5,18
Switzerland,7,2,6,15
Ukraine,0,1,0,1
United States of America,9,9,7,25
